../bin/database
0	
1	 1
2	 1 2
10	 1 2 5 10
11	 1 11
12	 1 2 3 4 6 12
20	 1 2 4 5 10 20
21	 1 3 7 21
22	 1 2 11 22
100	 1 2 4 5 10 20 25 50 100
101	 1 101
102	 1 2 3 6 17 34 51 102
110	 1 2 5 10 11 22 55 110
111	 1 3 37 111
112	 1 2 4 7 8 14 16 28 56 112
120	 1 2 3 4 5 6 8 10 12 15 20 24 30 40 60 120
121	 1 11 121
122	 1 2 61 122
200	 1 2 4 5 8 10 20 25 40 50 100 200
201	 1 3 67 201
202	 1 2 101 202
210	 1 2 3 5 6 7 10 14 15 21 30 35 42 70 105 210
211	 1 211
212	 1 2 4 53 106 212
220	 1 2 4 5 10 11 20 22 44 55 110 220
221	 1 13 17 221
222	 1 2 3 6 37 74 111 222
1000	 1 2 4 5 8 10 20 25 40 50 100 125 200 250 500 1000
1001	 1 7 11 13 77 91 143 1001
1002	 1 2 3 6 167 334 501 1002
1010	 1 2 5 10 101 202 505 1010
1011	 1 3 337 1011
